1 167.647231 
2 84.726907 
3 56.911500 
4 38.676538 
5 40.149664 
6 38.054313 
7 30.530042 
8 26.144560 
9 29.381639 
10 22.868735 
11 17.930068 
12 20.955175 
13 15.219724 

1 74.332465 
2 37.143505 
3 24.976028 
4 20.245485 
5 18.234112 
6 14.715311 
7 13.696036 
8 11.032454 
9 9.703446 
10 11.335742 
11 10.207388 
12 17.684969 
13 8.548014 
14 8.047275 
15 6.692412 
16 8.796517 
17 5.470461 
18 8.675951 
19 11.136030 
20 6.090157 
21 5.457414 
22 5.748267 
23 8.861511 
24 3.703197 
25 3.656850 
26 3.464491 
27 4.463760 
28 11.522382 

9 11.692883 
10 8.635068 
11 9.121372 
12 8.197252 
14 8.099185 
15 9.783335 

18 5.072775 
19 11.832040 
20 5.151257 
21 5.034221 
22 4.527965 
23 8.245607 
24 5.042444 
25 4.162245 
26 3.411932 
27 3.493110 
28 10.693908 
