1 185.568310 
2 139.692697 
3 121.922758 
4 134.489490 
5 175.726020 
6 164.142942 


1 94.988101 
2 47.751058 
3 31.935109 
4 25.940827 
5 22.709804 
6 32.373124 
7 18.696147 
8 16.256093 
9 12.640656 
10 15.116645 
11 15.722583 
12 12.206912 
13 8.712118 
14 8.259708 
15 11.510630 
16 7.257103 
17 6.843703 
18 6.353432 
19 7.007884 
20 5.763089
 
1 137.212255 
2 68.610457 
3 45.678244 
4 39.857912 
5 32.022686 
6 35.244974 
7 27.328168 
8 26.533725 
9 28.076217 
10 20.056046 
11 14.769144 
12 13.855936 
13 12.498948 
14 11.673640 
15 11.075279 
16 10.271840 
17 11.654781 
18 9.144956 
19 14.489656 
20 9.179740 
20 8.556723 
21 9.321113 
22 8.129089 
23 15.949897 
24 6.870768 
25 6.526191 
26 6.571555 
27 13.841971 
28 13.860577 
20 8.214398 
21 12.499504 
22 7.475905 
23 10.170779 
24 7.072982 
25 7.286984 
26 7.302561 
27 6.231818 
28 5.866326 
